family,tf,cls,configs,ic_mean,ic_pos_months,top_minus_bottom,ens_oos_mean,ens_pos_months,ens_202601,ens_202602,ens_202603,ens_202604,ens_202605,ens_202606
V_NR_BREAK,1,EQ,648,0.9768504589669637,6,124.39170119726127,-51.61999579024098,0,-47.34123890728526,-46.79373862176258,-51.79950851513072,-54.702316275459275,-52.63179360416453,-56.45137881764348
R_BB,1,EQ,3456,0.9743645834916418,6,126.16281167502774,-57.270717223741805,0,-52.222643716693476,-49.14758718065431,-59.08215905244055,-60.04784003089158,-58.148718178437925,-64.97535518333294
T_DONCH,1,EQ,1080,0.9725155037951086,6,83.97745991350052,-46.194249315575064,0,-40.47665469180847,-43.20889825748294,-46.67047326833241,-48.075404556446586,-48.04666375503229,-50.68740136434769
M_TSMOM,1,EQ,3888,0.9716600743141525,6,89.97930834684337,-33.87400025910653,0,-31.437469971260846,-31.215924782795778,-32.890362692599595,-35.37349397507891,-35.43025925099603,-36.896490881908015
T_DONCH_STOP,1,EQ,1080,0.9712951301557343,6,97.70646670114468,-49.635421625509416,0,-44.074858996245084,-47.14923312783394,-50.14627326453573,-51.76384910982757,-50.81592144558945,-53.862393809024745
R_BB_LIMIT,1,EQ,1944,0.9708212418848804,6,86.22192519291741,-64.09142528718804,0,-55.7557752004327,-52.095399783130304,-66.22613744416618,-69.18804626165395,-65.21311402888237,-76.0700790048628
V_NR_BREAK,2,EQ,648,0.9700634932059411,6,90.40498639281236,-34.13675856428521,0,-30.103059609298544,-32.27527218382812,-34.34607933584419,-36.52722650726336,-34.877933871520675,-36.69097987795639
U_BAR_PRESSURE,1,EQ,864,0.9677883562267415,6,113.15170305049736,-68.10094137417214,0,-66.64188606924621,-64.69399854354286,-63.53396542136507,-70.17371275205079,-74.52582023759354,-69.0362652212344
R_RSI,3,FUT,5184,0.9669369971159605,6,82.17731829976036,-35.88156374700214,0,-35.02272587942128,-30.834244539806996,-38.67216873598363,-36.74329179815678,-35.4719775938187,-38.54497393482545
T_PRICE_MA,1,EQ,2160,0.9655527634088159,6,80.21180302851582,-49.3508205670983,0,-52.88220365827498,-45.428706006238606,-45.71140753973469,-47.38133471576943,-52.61920161944341,-52.082069863128694
